jaar,regio_code,regio_naam,gem_verkoopprijs_eur
1995,NL01,Nederland,93750
1996,NL01,Nederland,102607
1997,NL01,Nederland,113163
1998,NL01,Nederland,124540
1999,NL01,Nederland,144778
2000,NL01,Nederland,172050
2001,NL01,Nederland,188397
2002,NL01,Nederland,199752
2003,NL01,Nederland,204829
2004,NL01,Nederland,212723
2005,NL01,Nederland,222706
2006,NL01,Nederland,235843
2007,NL01,Nederland,248325
2008,NL01,Nederland,254918
2009,NL01,Nederland,238259
2010,NL01,Nederland,239530
2011,NL01,Nederland,240059
2012,NL01,Nederland,226661
2013,NL01,Nederland,213353
2014,NL01,Nederland,222218
2015,NL01,Nederland,230194
2016,NL01,Nederland,243837
2017,NL01,Nederland,263295
2018,NL01,Nederland,287267
2019,NL01,Nederland,307978
2020,NL01,Nederland,334488
2021,NL01,Nederland,386714
2022,NL01,Nederland,428591
2023,NL01,Nederland,416153
2024,NL01,Nederland,450985
2025,NL01,Nederland,479527
1995,PV23,Overijssel,83597
1996,PV23,Overijssel,90786
1997,PV23,Overijssel,102179
1998,PV23,Overijssel,110332
1999,PV23,Overijssel,128295
2000,PV23,Overijssel,152617
2001,PV23,Overijssel,170174
2002,PV23,Overijssel,178482
2003,PV23,Overijssel,185090
2004,PV23,Overijssel,191927
2005,PV23,Overijssel,198475
2006,PV23,Overijssel,206909
2007,PV23,Overijssel,215724
2008,PV23,Overijssel,219612
2009,PV23,Overijssel,212375
2010,PV23,Overijssel,211088
2011,PV23,Overijssel,208185
2012,PV23,Overijssel,202549
2013,PV23,Overijssel,189733
2014,PV23,Overijssel,197070
2015,PV23,Overijssel,198713
2016,PV23,Overijssel,210683
2017,PV23,Overijssel,227193
2018,PV23,Overijssel,244270
2019,PV23,Overijssel,260130
2020,PV23,Overijssel,282983
2021,PV23,Overijssel,325701
2022,PV23,Overijssel,365460
2023,PV23,Overijssel,365733
2024,PV23,Overijssel,393428
2025,PV23,Overijssel,420923
1995,GM1774,Dinkelland,
1996,GM1774,Dinkelland,
1997,GM1774,Dinkelland,
1998,GM1774,Dinkelland,
1999,GM1774,Dinkelland,
2000,GM1774,Dinkelland,
2001,GM1774,Dinkelland,
2002,GM1774,Dinkelland,227114
2003,GM1774,Dinkelland,241098
2004,GM1774,Dinkelland,236101
2005,GM1774,Dinkelland,239611
2006,GM1774,Dinkelland,251468
2007,GM1774,Dinkelland,249947
2008,GM1774,Dinkelland,291662
2009,GM1774,Dinkelland,249448
2010,GM1774,Dinkelland,247427
2011,GM1774,Dinkelland,245888
2012,GM1774,Dinkelland,226679
2013,GM1774,Dinkelland,207617
2014,GM1774,Dinkelland,230390
2015,GM1774,Dinkelland,219021
2016,GM1774,Dinkelland,238500
2017,GM1774,Dinkelland,252296
2018,GM1774,Dinkelland,257647
2019,GM1774,Dinkelland,279197
2020,GM1774,Dinkelland,315526
2021,GM1774,Dinkelland,343759
2022,GM1774,Dinkelland,409307
2023,GM1774,Dinkelland,396513
2024,GM1774,Dinkelland,431948
2025,GM1774,Dinkelland,456043
1995,GM1735,Hof van Twente,
1996,GM1735,Hof van Twente,
1997,GM1735,Hof van Twente,
1998,GM1735,Hof van Twente,
1999,GM1735,Hof van Twente,
2000,GM1735,Hof van Twente,
2001,GM1735,Hof van Twente,221738
2002,GM1735,Hof van Twente,207006
2003,GM1735,Hof van Twente,212067
2004,GM1735,Hof van Twente,234299
2005,GM1735,Hof van Twente,206705
2006,GM1735,Hof van Twente,245320
2007,GM1735,Hof van Twente,262927
2008,GM1735,Hof van Twente,248309
2009,GM1735,Hof van Twente,265040
2010,GM1735,Hof van Twente,232595
2011,GM1735,Hof van Twente,250112
2012,GM1735,Hof van Twente,231097
2013,GM1735,Hof van Twente,196506
2014,GM1735,Hof van Twente,220257
2015,GM1735,Hof van Twente,225881
2016,GM1735,Hof van Twente,231967
2017,GM1735,Hof van Twente,249795
2018,GM1735,Hof van Twente,254847
2019,GM1735,Hof van Twente,274670
2020,GM1735,Hof van Twente,299266
2021,GM1735,Hof van Twente,354722
2022,GM1735,Hof van Twente,383248
2023,GM1735,Hof van Twente,396306
2024,GM1735,Hof van Twente,434320
2025,GM1735,Hof van Twente,432647
1995,GM1742,Rijssen-Holten,
1996,GM1742,Rijssen-Holten,
1997,GM1742,Rijssen-Holten,
1998,GM1742,Rijssen-Holten,
1999,GM1742,Rijssen-Holten,
2000,GM1742,Rijssen-Holten,
2001,GM1742,Rijssen-Holten,
2002,GM1742,Rijssen-Holten,
2003,GM1742,Rijssen-Holten,184806
2004,GM1742,Rijssen-Holten,213045
2005,GM1742,Rijssen-Holten,231557
2006,GM1742,Rijssen-Holten,221834
2007,GM1742,Rijssen-Holten,239988
2008,GM1742,Rijssen-Holten,262573
2009,GM1742,Rijssen-Holten,236286
2010,GM1742,Rijssen-Holten,252319
2011,GM1742,Rijssen-Holten,227143
2012,GM1742,Rijssen-Holten,230065
2013,GM1742,Rijssen-Holten,206249
2014,GM1742,Rijssen-Holten,216267
2015,GM1742,Rijssen-Holten,228425
2016,GM1742,Rijssen-Holten,234042
2017,GM1742,Rijssen-Holten,248153
2018,GM1742,Rijssen-Holten,279965
2019,GM1742,Rijssen-Holten,287331
2020,GM1742,Rijssen-Holten,317632
2021,GM1742,Rijssen-Holten,342796
2022,GM1742,Rijssen-Holten,403213
2023,GM1742,Rijssen-Holten,390878
2024,GM1742,Rijssen-Holten,447791
2025,GM1742,Rijssen-Holten,430244
1995,GM1708,Steenwijkerland,
1996,GM1708,Steenwijkerland,
1997,GM1708,Steenwijkerland,
1998,GM1708,Steenwijkerland,
1999,GM1708,Steenwijkerland,
2000,GM1708,Steenwijkerland,
2001,GM1708,Steenwijkerland,
2002,GM1708,Steenwijkerland,
2003,GM1708,Steenwijkerland,196605
2004,GM1708,Steenwijkerland,177561
2005,GM1708,Steenwijkerland,202616
2006,GM1708,Steenwijkerland,232841
2007,GM1708,Steenwijkerland,237958
2008,GM1708,Steenwijkerland,234379
2009,GM1708,Steenwijkerland,217578
2010,GM1708,Steenwijkerland,214947
2011,GM1708,Steenwijkerland,204253
2012,GM1708,Steenwijkerland,190951
2013,GM1708,Steenwijkerland,185850
2014,GM1708,Steenwijkerland,196261
2015,GM1708,Steenwijkerland,200766
2016,GM1708,Steenwijkerland,203799
2017,GM1708,Steenwijkerland,226754
2018,GM1708,Steenwijkerland,234505
2019,GM1708,Steenwijkerland,250383
2020,GM1708,Steenwijkerland,285838
2021,GM1708,Steenwijkerland,333678
2022,GM1708,Steenwijkerland,378215
2023,GM1708,Steenwijkerland,364946
2024,GM1708,Steenwijkerland,389884
2025,GM1708,Steenwijkerland,412194
1995,GM1700,Twenterand,
1996,GM1700,Twenterand,
1997,GM1700,Twenterand,
1998,GM1700,Twenterand,
1999,GM1700,Twenterand,
2000,GM1700,Twenterand,
2001,GM1700,Twenterand,
2002,GM1700,Twenterand,191529
2003,GM1700,Twenterand,183397
2004,GM1700,Twenterand,196133
2005,GM1700,Twenterand,206476
2006,GM1700,Twenterand,224464
2007,GM1700,Twenterand,225192
2008,GM1700,Twenterand,239847
2009,GM1700,Twenterand,211473
2010,GM1700,Twenterand,209680
2011,GM1700,Twenterand,206908
2012,GM1700,Twenterand,196497
2013,GM1700,Twenterand,198645
2014,GM1700,Twenterand,187335
2015,GM1700,Twenterand,195482
2016,GM1700,Twenterand,201440
2017,GM1700,Twenterand,221020
2018,GM1700,Twenterand,237752
2019,GM1700,Twenterand,248957
2020,GM1700,Twenterand,273030
2021,GM1700,Twenterand,309662
2022,GM1700,Twenterand,348114
2023,GM1700,Twenterand,338159
2024,GM1700,Twenterand,362592
2025,GM1700,Twenterand,420039
